cust_id,recency,frequency,monetary
12645,29,5,1755.38
12646,4,2,1346.97
12647,19,13,3669.92
12648,131,1,318.05
12649,91,4,603.71
12650,3,1,314.44
12651,280,1,114
12652,269,2,914.53
12653,126,2,2209.85
12654,9,5,601.98
12656,15,8,3982.72
12657,10,5,1152.06
12658,16,1,686.05
12659,25,1,91.68
12660,10,1,245.1
12662,0,12,3817.08
12664,7,10,4863.88
12665,271,2,61.75
12666,302,1,-227.44
12667,50,1,620.13
12668,6,6,3743.18
12669,128,4,1607.73
12670,9,6,2986.15
12672,275,1,225.9
12673,5,2,610.52
12674,10,7,1919.31
12676,21,6,1331.39
12678,36,13,17588.26
12679,45,9,1058.67
12680,0,4,862.81
12681,12,27,13677.59
12682,3,31,12288.22
12683,4,20,8221.09
12684,6,7,2283.63
12685,24,6,2863.08
12686,312,1,89.14
12688,96,1,4873.81
12689,22,2,1247.61
12690,174,1,389.01
12691,24,6,1035.8
12693,102,6,830.96
12694,60,2,869.67
12695,6,4,582.1
12697,18,5,939.02
12700,6,6,4867.99
12701,68,2,797.71
12702,17,1,219
12703,55,2,274.7
12704,6,10,2220.84
12705,13,14,6814.24
12707,243,1,603.42
12708,25,16,2616.32
12709,3,26,9294.1
12710,83,4,1130.57
12712,19,17,4241.63
12713,0,1,848.55
12714,8,5,4708.86
12715,90,1,353.86
12716,3,2,1053.49
12717,129,3,980.98
12718,61,1,238.25
12719,5,3,608.1
12720,2,29,5713.28
12721,27,7,2628.98
12722,73,6,904.33
12723,3,5,725.07
12724,5,4,1031.41
12725,312,1,427.8
12726,24,7,2609.1
12727,9,9,3947.7
12728,61,4,836.33
12729,96,1,453.01
12731,20,14,18793.41
12732,153,1,236.26
12733,194,1,383.95
12734,296,1,110.4
12735,263,2,779.57
12736,278,1,234
12738,313,1,155.35
12739,67,2,1013.04
12740,54,1,427.6
12743,114,2,546.43
12744,44,10,9120.39
12747,2,11,4196.01
12748,0,224,29072.1
12749,3,8,3868.2
12750,109,1,275.88
12752,70,1,4366.78
12753,3,11,21024.01
12754,195,5,2949.12
12755,207,4,2203.2
12756,74,1,112.08
12757,13,19,4227.7
12758,99,2,2791.59
12759,45,3,1531.44
12762,6,2,1898.52
12763,118,2,494.08
12764,264,1,1693.88
12766,3,7,6989.63
12769,197,1,1143.6
12770,178,1,1351.45
12772,51,1,892.47
12775,15,6,1351.24
12778,17,7,804.23
12779,18,12,3868.7
12781,18,5,707.72
12782,4,6,2273.32
12783,2,8,1603.87
12784,8,2,574.42
12785,2,2,305.71
12787,8,3,463.66
12789,56,1,91.85
12790,164,1,324.92
12791,314,1,192.6
12792,213,1,400.54
12793,280,2,545.48
12794,46,2,860.41
12795,16,1,430.48
12797,303,3,194.18
12798,9,3,6977.04
12802,156,2,412.58
12808,31,3,483.65
12809,143,2,484.36
12811,216,3,514.85
12812,38,1,229.64
12814,87,1,125.92
12815,125,2,1063.46
12816,82,2,572.2
12817,234,1,166.04
12818,152,2,1517.88
12820,3,4,942.34
12821,182,1,92.72
12822,60,3,918.98
12823,64,5,1759.5
12824,51,1,397.12
12826,2,8,1468.12
12827,5,3,430.15
12828,2,6,1018.71
12829,269,3,253.05
12830,32,7,6748.4
12831,218,1,215.05
12832,28,2,383.03
12833,124,1,417.38
12834,235,1,312.38
12836,51,4,2612.86
12837,148,1,134.1
12838,29,2,683.13
12839,2,16,5583.62
12840,122,6,2714.27
12841,4,26,3876.4
12842,60,2,1118.99
12843,56,9,1680.76
12844,25,2,325.96
12845,222,4,354.09
12847,19,1,871.54
12849,27,2,1050.89
12851,83,1,135.18
12852,242,2,299.75
12853,91,9,1881.7
12854,67,5,1289.15
12855,313,1,38.1
12856,6,8,2162.68
12857,178,2,1106.4
12863,45,2,504.2
12864,118,1,147.12
12865,23,3,1548.07
12866,236,1,559.12
12867,23,10,3986.22
12868,158,6,1607.06
12870,308,1,-14.9
12871,72,2,380.64
12872,273,2,599.97
12873,235,1,374
12875,122,2,343.23
12876,49,2,2218.02
12877,3,12,1535.77
12878,16,3,841.64
12879,38,4,552.57
12881,229,1,298
12882,8,2,1463.04
12883,21,4,703.47
12884,76,1,309.05
12885,54,4,1158.27
12886,58,3,1351.09
12888,182,4,313.77
12890,21,1,380.47
12891,158,3,331
12893,26,1,188.14
12895,36,3,347.3
12897,173,2,216.5
12901,7,36,16293.1
12902,220,1,138.68
12904,16,2,509.58
12906,10,5,2919.81
12908,50,4,246
12909,34,8,2128.83
12910,20,8,3075.04
12912,2,5,1662.3
12913,4,5,2483.63
12915,126,2,363.65
12916,118,5,2982.35
12917,109,1,594
12919,7,8,1301.44
12920,15,1,164.23
12921,3,50,16389.74
12922,137,1,405.38
12923,55,1,176.97
12924,76,5,929.95
12925,4,2,694.05
12928,30,5,2062.7
12929,104,2,105.1
12930,67,4,409.9
12931,18,20,33462.81
12933,21,4,606.28
12935,2,8,2156.45
12936,15,5,1012.9
12937,13,4,1504.27
12938,22,1,114.14
12939,55,8,11581.8
12940,40,4,876.29
12942,112,3,683.9
12943,251,1,-3.75
12944,30,2,604.51
12945,240,1,462.95
12947,122,11,1407.29
12948,14,8,2053.7
12949,26,10,4143.02
12950,2,3,1843
12951,7,8,1042.07
12952,5,5,1382.84
12953,8,1,329.85
12955,1,14,4734.26
12956,256,1,108.07
12957,4,12,3979.04
12962,6,2,266.39
12963,7,9,1841.03
12965,77,1,771.91
12966,8,1,160.18
12967,3,4,1194.75
12968,95,1,135.95
12970,6,4,452.24
12971,3,89,10930.26
12974,167,1,144.8
12976,179,1,738.6
12977,133,1,39.24
12980,132,12,7092.06
12981,25,2,372.22
12982,198,2,377.2
12984,16,1,97.5
12985,0,3,1215.62
12987,63,3,545
12988,244,1,535.32
12989,3,19,6854.51
12990,27,3,409.5
12991,20,2,503.76
12993,20,4,414.76
12994,4,5,902.22
12995,66,2,200.72
12997,19,7,1197.94
12999,166,3,455.88
13000,90,3,534.85
13001,4,15,9797.92
13002,266,1,120.95
13003,89,3,149.05
13004,10,22,5613.43
13005,148,3,468.95
13006,48,1,81.57
13008,270,2,178.47
13011,313,1,50.55
13012,8,11,1311.62
13013,1,15,4786.99
13014,2,16,3365.43
13015,46,5,3346.28
13016,63,3,789.89
13017,6,1,204
13018,14,29,7272.75
13021,4,12,2584.4
13023,55,2,689.9
13026,1,8,936.15
13027,96,6,6912
13028,19,3,659.68
13029,26,3,1247.5
13030,10,2,799.48
13032,33,3,996.52
13033,300,1,190.55
13034,47,2,642.77
13035,49,3,886.63
13037,118,3,881.07
13038,69,3,908.46
13040,7,2,676.99
13043,210,2,471.57
13044,243,1,560.47
13045,85,1,305.28
13046,26,2,629.31
13047,27,18,3079.1
13048,12,5,1805.91
13049,55,2,656.68
13050,8,28,5684.61
13052,180,1,348.15
13055,55,4,1201.96
13058,21,3,271.4
13059,207,1,183.4
13060,210,1,307.53
13061,62,1,248.61
13062,163,1,346.98
13064,11,4,1119.49
13065,314,1,205.86
13066,21,3,430.9
13067,71,1,115.46
13068,9,2,344
13069,0,27,3717.82
13070,164,1,228.8
13072,221,1,177.15
13075,110,1,919.61
13077,1,4,729.27
13078,1,43,12432.28
13079,4,5,220.1
13080,153,1,58.08
13081,1,21,27964.48
13082,107,10,3595.48
13083,4,2,303.75
13085,134,3,272.38
13089,2,118,57385.88
13090,7,18,8689.39
13091,18,2,319.82
13092,60,6,459.83
13093,222,13,7741.47
13094,18,16,1708.86
13095,60,1,74.4
13097,28,14,5893.32
13098,1,41,28658.88
13099,85,1,207.36
13101,194,1,101.19
13102,1,27,6336.29
13103,34,1,243.94
13104,3,6,1098.48
13106,109,2,59.5
13107,38,5,1524.07
13108,313,1,350.06
13109,2,5,766.84
13110,27,8,1452.87
13113,0,40,10510
13115,7,14,2205.63
13116,100,2,485.19
13117,18,8,984.91
13118,17,7,1125
13120,197,1,30.6
13121,224,2,254.73
13122,81,2,922.39
13124,77,3,3866.33
13126,4,10,2056.29
13127,66,1,259.17
13130,81,1,64
13131,20,4,1039.3
13132,217,1,77.3
13133,227,2,109.8
13134,62,7,1740.63
13135,166,1,3096
13136,43,11,2545.38
13137,9,9,3605.08
13138,19,6,962.39
13139,14,8,5055.79
13140,92,3,423.72
13141,72,6,2385.8
13142,17,1,307.09
13144,278,1,110.95
13145,34,5,614.77
13146,23,1,228.91
13147,9,4,712.8
13148,25,17,3348.48
13149,12,4,1676.06
13151,172,2,1250.37
13153,5,1,486.22
13154,123,1,-611.86
13155,29,4,971.76
13157,42,5,1721.57
13158,81,4,1201.06
13159,7,5,1379.75
13160,19,1,91.8
13161,262,1,112.75
13162,104,5,1644.99
13165,40,2,1021.48
13166,235,2,414.7
13167,16,4,791.33
13168,31,5,1310.14
13169,54,2,712.88
13170,23,1,116.01
13171,7,5,426.81
13173,4,2,353.65
13174,14,3,2817.03
13176,40,1,492.84
13177,55,1,282.45
13178,23,11,5725.47
13182,39,1,121.18
13183,6,9,3957.78
13184,12,12,1648.79
13185,222,1,71.4
13186,34,5,1539.69
13187,282,1,236.02
13188,10,1,114.6
13189,16,2,260.68
13192,82,2,911.94
13193,53,1,117.88
13194,115,1,60.7
13196,10,4,1797.78
13198,9,8,3384.09
13199,3,39,9803.96
13200,17,4,870.09
13203,8,4,869.46
13207,13,2,250.26
13208,50,7,1205.9
13209,26,11,5820.16
13210,80,1,353.48
13211,9,3,1197.42
13212,8,4,780.58
13213,48,6,1518.43
13216,222,1,333.74
13217,104,5,133.62
13218,108,1,62.64
13220,67,4,819.29
13221,199,2,847.41
13223,170,2,163.2
13224,52,3,2150.85
13225,3,8,6083.04
13226,227,1,108.21
13227,171,1,257.7
13228,70,1,358
13229,189,1,160.95
13230,4,15,2763.41
13232,11,7,1357.6
13233,64,2,605.12
13235,179,2,101.17
13236,21,3,727.27
13238,10,5,680.83
13239,217,1,329.56
13240,83,4,663.65
13242,95,3,270.4
13243,172,1,600.07
13244,79,1,121.74
13245,43,1,430.5
13246,16,7,1922.1
13247,15,4,501.12
13248,106,2,465.68
13249,79,3,711.41
13253,133,2,1030.4
13255,3,3,390.66
13256,12,1,0
13258,10,3,698.58
13259,53,1,292.32
13260,53,1,557.62
13261,223,2,944.1
13262,219,1,200.29
13263,1,35,7454.07
13265,46,5,2107.66
13266,10,19,3717.67
13267,2,27,4404.44
13268,15,15,3167.64
13269,1,17,5315.92
13270,308,1,590
13271,32,2,178.26
13272,27,2,276.56
13273,96,1,138.98
13276,54,2,590.93
13277,13,4,258.4
13278,35,1,542.73
13279,55,2,126.3
13280,104,3,814.86
13282,16,6,1047.84
13283,51,2,93.66
13284,269,2,196.15
13285,20,4,2709.12
13291,132,1,361.11
13292,33,2,578.94
13294,161,2,873.74
13295,302,2,197.95
13296,117,1,87.4
13297,6,4,2089.85
13298,1,1,360
13299,223,1,142.5
13300,140,2,365.29
13301,88,4,618.09
13302,132,1,63.75
13304,295,1,300.42
13305,4,10,2000.86
13307,102,1,15
13308,19,4,1367.61
13309,6,5,1456.79
13310,7,6,1083.63
13311,4,2,598.57
13313,19,5,1555.32
13314,1,4,578.66
13316,32,5,5815.49
13317,55,9,2140.07
13318,1,3,640.76
13319,5,36,10664.34
13320,60,6,1491.7
13321,62,2,567.36
13322,15,1,199.48
13323,3,5,787.85
13324,28,12,7072.8
13325,70,1,675.3
13327,33,9,3617.57
13328,264,1,1308.48
13329,27,4,740.4
13330,79,3,1140.93
13332,12,1,350.9
13334,71,3,3536.82
13336,66,1,795.12
13338,131,3,431.82
13339,170,1,860.12
13340,39,7,10736.48
13341,216,1,775.85
13343,147,2,303.93
13344,58,3,2543.72
13345,230,2,377.6
13347,60,1,341.36
13348,55,1,233.76
13349,9,1,247.32
13350,14,3,910.72
13351,57,1,373.94
13352,6,2,389.28
13354,61,1,743.53
13355,104,1,674.7
13356,69,1,768.24
13357,214,1,609.95
13358,223,1,439.03
13359,51,2,431.26
13362,3,5,3085.49
13363,15,2,992.5
13364,57,2,-5.33E-15
13365,7,3,2191.22
13366,43,1,56.16
13368,213,2,623.4
13369,298,2,263.75
13370,308,2,721.32
13372,77,1,378.64
13373,52,3,3312.25
13375,70,2,772.9
13376,85,3,1019.76
13379,23,3,572.56
13381,18,7,3626.81
13382,233,1,222.99
13384,26,9,4122.28
13385,275,1,534.57
13388,103,3,627.15
13389,10,3,797.96
13390,64,1,544.08
13391,172,1,59.8
13394,1,10,2312.8
13395,158,1,307.72
13396,18,4,1325.29
13397,62,6,1539.18
13398,164,1,457.34
13402,108,2,621.23
13403,15,1,75
13404,1,2,252.49
13405,64,3,572.451
13408,1,81,27487.41
13410,7,7,988.91
13411,91,1,213.55
13414,113,3,1390.5
13416,37,2,712.5
13417,4,2,640.83
13418,10,23,5845.44
13419,54,1,221.06
13420,114,4,140.35
13421,35,3,1848.98
13422,44,2,2601.55
13425,92,3,1624.21
13426,0,12,3550.7
13427,17,3,582.6
13428,9,1,218.47
13429,9,4,1006.8
13430,16,4,648.69
13431,58,2,1269.1
13434,64,2,534.24
13435,5,9,3794.49
13436,1,1,196.89
13437,12,7,3408.06
13439,212,1,283.71
13441,78,1,296.64
13447,20,4,1104.23
13448,14,10,3465.67
13449,20,1,291.88
13450,23,6,2043.72
13451,23,6,2916.45
13452,215,2,590
13453,141,2,356.98
13455,21,4,1007.35
13456,15,7,1737.82
13458,6,22,9537.92
13460,25,2,183.44
13461,33,3,1445
13462,156,2,143.25
13464,50,1,674.68
13466,86,2,297.95
13467,9,2,1083.71
13468,1,41,5656.75
13470,85,2,165
13471,1,4,2531.58
13473,52,3,417.54
13474,196,1,229.59
13475,163,4,1431.78
13476,152,4,1092.77
13477,32,8,1441.53
13479,168,3,291
13481,39,8,1776.81
13482,192,1,184.64
13483,56,1,140.34
13484,200,1,313.8
13485,193,1,454.24
13486,67,3,1122.41
13487,49,3,575.4
13488,15,17,8910.61
13489,89,4,449.52
13491,44,10,1215.82
13492,116,3,1269.84
13493,229,2,618.63
13494,260,1,316.26
13495,6,6,1990.12
13496,9,3,617.93
13497,235,3,321.05
13499,15,7,1146.96
13500,20,4,1136.77
13501,201,2,1310.47
13502,14,3,292
13503,61,1,216.85
13504,55,1,295.93
13505,58,8,4282.88
13506,261,3,452.82
13507,3,4,2479.16
13508,202,1,110.97
13509,7,7,979.72
13510,1,5,1785.16
13512,216,1,251.21
13513,107,1,205.1
13514,63,1,152.2
13515,62,4,891.12
13516,18,3,1389.41
13517,51,5,2109.07
13518,73,1,659.44
13519,43,2,110.8
13520,50,8,3487.75
13521,1,3,1093.65
13522,26,1,125.8
13523,29,6,3755.38
13524,35,5,680.18
13525,12,2,628.78
13527,29,8,2263.76
13529,67,2,307.76
13531,174,2,483.8
13532,29,1,210.31
13533,155,3,270.79
13534,2,43,5613.08
13536,1,7,3448.29
13538,37,7,1280.85
13539,73,4,605.84
13544,34,2,291.41
13546,11,3,626.99
13548,83,2,682.41
13549,22,8,916.12
13551,267,1,91.8
13552,57,16,3539.53
13555,63,4,4149.28
13557,24,2,584.06
13558,5,4,605.06
13560,6,1,174.37
13561,183,1,141.86
13562,70,3,1799.33
13563,72,2,777.53
13564,123,5,647.74
13565,17,2,240.22
13566,35,2,874.71
13568,148,1,192.85
13569,15,2,373.75
13570,202,1,239.49
13571,11,12,2092.32
13572,174,1,1384.25
13573,43,2,294.4
13575,20,5,732.07
13576,9,20,6703.3
13577,22,5,1658.3
13579,12,2,467.04
13581,258,1,118
13583,132,1,781.03
13584,256,1,142.4
13587,27,3,347
13588,13,13,2445.12
13589,12,2,379.65
13590,10,7,1976.12
13591,55,3,1117.13
13592,30,4,247.96
13593,92,6,1990.28
13594,45,1,396.97
13596,5,2,697.04
13598,41,2,167.42
13599,1,33,5030.6
13600,261,1,219.52
13601,39,2,693.32
13602,55,1,428.89
13603,23,1,164.34
13606,25,3,280.54
13607,35,1,678.01
13610,11,9,1115.43
13611,77,4,1158.2
13614,21,4,1610.46
13615,261,2,399.99
13617,35,3,544.18
13618,148,1,177.34
13621,99,1,213.85
13623,26,7,672.44
13626,209,1,257.23
13627,51,7,1624.02
13629,20,11,7792.36
13630,5,11,1995.68
13631,85,12,3021.77
13632,21,6,2117.02
13634,29,5,1575.16
13635,58,1,1071.03
13636,31,6,941.62
13637,45,3,810.5
13638,13,1,122.64
13639,64,1,1033.34
13642,183,1,354.8
13643,27,3,519.44
13644,7,5,2597.52
13645,102,1,252.1
13647,8,5,1670.22
13649,213,2,346.6
13650,14,7,1809.34
13651,30,2,94.2
13652,39,3,1095.08
13654,37,6,2707.33
13655,97,2,932.97
13656,140,2,379.65
13657,9,2,382.14
13658,8,7,2421.47
13659,167,3,1550.85
13662,73,7,879.08
13663,153,1,189.47
13666,52,3,84.65
13667,127,1,305.02
13668,2,29,6216.07
13669,43,2,218.55
13670,65,1,349.7
13672,251,6,-71.46
13673,16,2,396.92
13675,129,2,486.82
13678,129,1,232.6
13680,1,5,2202.31
13681,15,4,827.83
13682,160,1,59.5
13684,238,2,64.23
13685,2,7,3119.44
13686,155,1,72
13689,54,1,910
13690,51,1,172.25
13692,21,5,1466.87
13693,272,2,-32
13694,3,60,62653.1
13695,27,15,2504.13
13697,33,1,151.3
13699,132,1,308.58
13700,23,10,2265.12
13703,266,1,99.5
13704,5,10,2295.31
13705,6,3,711.86
13706,252,1,330.79
13707,222,2,806.41
13708,226,1,296.88
13709,3,17,6249.11
13710,27,1,180.48
13711,185,2,252.06
13712,204,1,228.84
13715,234,8,1053.94
13716,224,1,138.28
13717,28,7,1432.26
13718,204,2,306.55
13719,13,5,1041.68
13720,99,4,799.9
13721,31,1,524.14
13722,102,4,2369.16
13723,184,1,199.85
13725,42,11,1809.81
13726,33,2,1079.66
13727,24,2,333.48
13728,31,6,1016.14
13730,115,2,752.6
13731,186,2,610.59
13732,24,1,491.86
13735,21,8,2766.18
13736,5,3,724
13737,170,1,339.6
13739,16,1,216.9
13740,199,1,350.75
13741,61,4,666.33
13742,14,14,3102.42
13743,2,8,1340.15
13744,82,2,1156.36
13745,129,2,291.54
13747,314,1,79.6
13748,82,5,948.25
13750,46,5,1647.26
13751,240,1,296.25
13752,106,6,1186.28
13753,239,1,741.26
13754,129,2,282.6
13755,3,10,2154.68
13756,2,15,5145.12
13758,10,7,3190.55
13759,29,2,659.41
13760,47,2,286.79
13761,43,2,1070.65
13762,173,2,-1.42E-14
13763,54,3,1689.46
13764,60,3,1521.76
13767,2,52,16945.71
13769,2,16,2771.87
13771,55,5,2631.7
13772,29,3,1132.13
13774,70,1,345
13777,0,41,25748.35
13778,88,1,178.7
13780,6,2,360.01
13781,208,1,127.84
13782,11,6,912
13784,8,11,2462.79
13786,309,1,230.4
13787,65,2,309.04
13790,4,1,348.8
13791,37,3,1047.68
13792,57,2,195.55
13798,1,63,36351.42
13799,99,2,688.86
13800,258,1,558.32
13801,57,1,324.8
13802,118,6,3906.27
13803,212,1,277.07
13804,26,7,2635.79
13805,45,2,924.6
13806,54,1,256.38
13807,309,1,112.6
13808,5,5,1747.66
13809,255,1,155.05
13810,24,4,899.51
13811,156,4,591.75
13812,36,3,539
13813,34,5,1353.41
13814,48,3,1562.12
13815,19,5,4014.91
13816,20,4,555.04
13817,25,2,382.98
13819,251,3,1140.35
13821,123,2,385.64
13822,5,2,632
13823,16,2,957.66
13824,28,5,1698.94
13826,135,2,174.65
13827,49,3,412.05
13828,19,1,209.49
13829,302,1,-102
13831,14,6,2202.99
13832,15,2,40.95
13833,136,1,384.8
13835,22,4,834.57
13837,179,2,271.24
13838,5,4,691.73
13841,209,1,85
13842,50,9,3385.62
13844,10,1,361.62
13845,55,1,312.98
13846,21,4,847.61
13848,79,3,1255
13849,44,2,1537.95
13850,76,2,1586.81
13851,82,3,2651.46
13853,7,2,1056.94
13854,7,29,8025.02
13856,143,5,363.4
13858,49,1,216.17
13859,273,1,201.16
13860,1,6,1240
13862,16,10,2187.31
13863,203,2,299.56
13865,50,4,501.56
13866,64,1,145.67
13867,27,3,1015.29
13868,6,2,3192.54
13869,105,4,3104.95
13870,2,10,2751.25
13871,19,14,6389.8
13873,101,4,381.7
13874,301,1,540.45
13875,46,5,1786.79
13876,54,1,122.7
13877,74,1,117.24
13878,47,1,1281.53
13880,18,13,3219.77
13881,3,22,16989.52
13882,2,6,1131.28
13883,1,9,2538.75
13884,6,6,781.3
13885,161,2,506.8
13886,61,1,243.56
13887,173,1,349.55
13888,101,2,605.63
13889,79,1,416.9
13890,1,14,1860.86
13892,23,4,632.97
13893,248,1,821.1
13894,19,5,535.97
13895,18,5,2588.12
13897,43,1,311.16
13898,272,1,155.93
13899,14,2,388.52
13900,156,3,740.95
13901,62,5,2867.2
13904,32,2,332.64
13908,68,5,2347.05
13911,49,9,2580.91
13914,3,3,613.95
13917,42,2,272.04
13918,42,2,1212.84
13919,46,3,350.16
13922,295,1,172.25
13923,46,1,351.13
13924,1,11,1682.08
13925,31,6,616.65
13926,20,1,223.85
13927,64,1,348.99
13928,9,4,464.57
13929,144,3,802.85
13930,49,2,337.34
13931,73,3,1230.93
13932,245,1,307.4
13933,93,2,608.79
13934,219,1,922.1
13936,146,2,361.28
13937,144,1,158.85
13938,30,1,71.66
13939,20,4,556.75
13940,15,4,839.14
13941,18,7,4912.41
13946,68,3,561.57
13947,56,1,90.6
13948,303,1,102
13949,2,6,2427.32
13950,10,5,728.56
13951,150,3,674.45
13952,179,3,3246.091
13953,6,7,3515.68
13954,1,3,378.59
13955,131,2,322.96
13956,5,5,1026.42
13958,313,1,-102.45
13959,68,3,598.2
13960,18,2,230.22
13962,18,2,169.55
13963,257,4,664.54
13967,124,1,80.7
13969,6,20,8986.69
13971,7,11,2702.22
13972,60,2,190.25
13973,239,1,264.7
13974,42,1,413.59
13975,27,7,2503.23
13976,175,1,357.98
13978,12,2,196.79
13979,63,1,869.87
13980,52,1,200.14
13982,34,5,1861.11
13983,25,13,2590.46
13984,23,6,488.03
13985,4,16,7024.53
13986,15,1,320.46
13988,17,9,4098.8
13989,56,2,1266.08
13990,181,1,311.3
13991,11,7,850.63
13992,26,1,76.8
13993,28,12,3409.66
13994,3,6,2313.14
13995,13,6,1383.49
13999,9,15,3865.26
